time,latitude,longitude,altitude,altitude_diff,distance,speed,relative_elevation,cum_distance,counter
2014-09-18 09:56:16+00:00,46.422302,10.812881,1883.875,-3.336999999999989,52.59,0.457304347826087,1118.944,15.513269999999997,0
2014-09-18 09:56:35+00:00,46.422545,10.812969,1886.777,2.9020000000000437,27.85,1.4657894736842105,1121.846,15.541119999999998,0
2014-09-18 09:56:59+00:00,46.423195,10.813637,1887.298,0.5209999999999582,88.58,3.6908333333333334,1122.367,15.629699999999998,0
2014-09-18 09:57:17+00:00,46.423075,10.814097,1887.715,0.4169999999999163,37.7,2.0944444444444446,1122.7839999999999,15.667399999999997,0
2014-09-18 09:57:53+00:00,46.423178,10.814854,1894.426,6.711000000000013,59.14,1.642777777777778,1129.495,15.726539999999996,0
2014-09-18 09:58:58+00:00,46.423644,10.815887,1906.007,11.581000000000131,94.63,1.4558461538461538,1141.076,15.821169999999997,0
2014-09-18 09:59:36+00:00,46.42361,10.816544,1913.226,7.219000000000051,50.5,1.3289473684210527,1148.295,15.871669999999996,0
2014-09-18 10:00:05+00:00,46.423809,10.817045,1918.937,5.710999999999785,44.32,1.5282758620689656,1154.0059999999999,15.915989999999995,0
2014-09-18 10:00:32+00:00,46.424037,10.817375,1922.337,3.400000000000091,35.81,1.3262962962962963,1157.406,15.951799999999995,0
2014-09-18 10:01:37+00:00,46.425066,10.817857,1929.018,6.68100000000004,120.24,1.8498461538461537,1164.087,16.072039999999994,0
2014-09-18 10:01:52+00:00,46.42528,10.818182,1930.598,1.5799999999999272,34.45,2.296666666666667,1165.667,16.106489999999997,0
2014-09-18 10:02:12+00:00,46.425661,10.818391,1924.251,-6.34699999999998,45.29,2.2645,1159.32,16.15178,0
2014-09-18 10:02:28+00:00,46.425945,10.818413,1931.013,6.761999999999944,31.62,1.97625,1166.0819999999999,16.1834,0
2014-09-18 10:02:53+00:00,46.426842,10.818074,1928.169,-2.8439999999998236,103.07,4.1228,1163.238,16.286469999999998,0
2014-09-18 10:03:23+00:00,46.42785,10.818238,1928.104,-0.06500000000005457,112.79,3.759666666666667,1163.173,16.399259999999998,0
2014-09-18 10:03:33+00:00,46.428109,10.818654,1928.524,0.4199999999998454,42.96,4.296,1163.5929999999998,16.44222,0
2014-09-18 10:04:04+00:00,46.428748,10.818758,1931.907,3.383000000000038,71.5,2.306451612903226,1166.9759999999999,16.51372,0
2014-09-18 10:04:19+00:00,46.429025,10.818979,1934.313,2.4060000000001764,35.15,2.3433333333333333,1169.382,16.548869999999997,0
2014-09-18 10:05:40+00:00,46.429764,10.819777,1947.844,13.530999999999949,102.43,1.264567901234568,1182.913,16.6513,0
2014-09-18 10:06:25+00:00,46.430028,10.820274,1954.084,6.240000000000009,48.09,1.0686666666666667,1189.153,16.69939,0
2014-09-18 10:06:58+00:00,46.42996,10.820623,1955.975,1.890999999999849,27.8,0.8424242424242424,1191.0439999999999,16.72719,0
2014-09-18 10:08:17+00:00,46.430071,10.820907,1956.915,0.9400000000000546,25.02,0.31670886075949367,1191.984,16.752209999999998,0
2014-09-18 10:14:58+00:00,46.429862,10.821301,1961.748,4.833000000000084,38.1,0.09501246882793017,1196.817,16.790309999999998,0
2014-09-18 10:15:45+00:00,46.42996,10.82178,1966.56,4.811999999999898,38.29,0.8146808510638298,1201.629,16.828599999999998,0
2014-09-18 10:18:20+00:00,46.428523,10.823873,1989.169,22.60900000000015,226.41,1.4607096774193549,1224.238,17.05501,0
2014-09-18 10:20:25+00:00,46.42679,10.825662,2007.904,18.7349999999999,236.5,1.892,1242.973,17.29151,0
2014-09-18 10:21:04+00:00,46.426641,10.826354,2013.124,5.220000000000027,55.57,1.4248717948717948,1248.193,17.34708,0
2014-09-18 10:22:12+00:00,46.42673,10.826796,2017.507,4.383000000000038,35.29,0.5189705882352941,1252.576,17.382369999999998,0
2014-09-18 10:24:11+00:00,46.427274,10.826925,2031.493,13.985999999999876,61.29,0.5150420168067227,1266.562,17.44366,0
2014-09-18 10:26:39+00:00,46.428461,10.827813,2050.644,19.15099999999984,148.5,1.0033783783783783,1285.7129999999997,17.59216,0
2014-09-18 10:27:36+00:00,46.428873,10.828316,2057.494,6.850000000000364,59.87,1.0503508771929824,1292.563,17.65203,0
2014-09-18 10:28:30+00:00,46.42902,10.829087,2063.695,6.201000000000022,61.31,1.1353703703703704,1298.7640000000001,17.71334,0
2014-09-18 10:29:12+00:00,46.429326,10.829435,2067.975,4.279999999999745,43.23,1.0292857142857141,1303.0439999999999,17.75657,0
2014-09-18 10:29:49+00:00,46.429441,10.829952,2070.398,2.423000000000229,41.64,1.1254054054054055,1305.467,17.798209999999997,0
2014-09-18 10:30:25+00:00,46.429255,10.830312,2074.26,3.86200000000008,34.48,0.9577777777777777,1309.3290000000002,17.83269,0
2014-09-18 10:33:30+00:00,46.428398,10.831021,2100.669,26.40899999999965,109.7,0.592972972972973,1335.7379999999998,17.94239,0
2014-09-18 10:34:03+00:00,46.428346,10.83126,2104.904,4.235000000000127,19.21,0.5821212121212122,1339.973,17.961599999999997,0
2014-09-18 10:39:33+00:00,46.429294,10.831939,2139.624,34.7199999999998,117.56,0.35624242424242425,1374.6929999999998,18.079159999999998,0
2014-09-18 10:43:56+00:00,46.430241,10.832023,2166.007,26.383000000000266,105.5,0.4011406844106464,1401.076,18.18466,0
2014-09-18 10:44:27+00:00,46.430371,10.832199,2168.933,2.925999999999931,19.77,0.6377419354838709,1404.002,18.20443,0
2014-09-18 10:46:09+00:00,46.430494,10.833199,2177.094,8.161000000000058,77.85,0.763235294117647,1412.163,18.28228,0
2014-09-18 10:47:46+00:00,46.430092,10.833844,2186.764,9.670000000000073,66.65,0.6871134020618558,1421.833,18.34893,0
2014-09-18 10:51:51+00:00,46.430043,10.835496,2193.955,7.1909999999998035,126.73,0.517265306122449,1429.024,18.47566,0
2014-09-18 10:53:43+00:00,46.429578,10.836306,2204.495,10.539999999999964,80.79,0.7213392857142857,1439.5639999999999,18.55645,0
2014-09-18 10:54:44+00:00,46.429579,10.836832,2212.658,8.163000000000011,40.31,0.6608196721311476,1447.7269999999999,18.596760000000003,0
2014-09-18 10:57:24+00:00,46.429162,10.838352,2229.46,16.802000000000135,125.38,0.783625,1464.529,18.722140000000003,0
2014-09-18 10:58:59+00:00,46.429552,10.83811,2238.189,8.728999999999814,47.17,0.4965263157894737,1473.2579999999998,18.76931,0
2014-09-18 11:00:17+00:00,46.430076,10.838057,2243.906,5.717000000000098,58.41,0.7488461538461538,1478.975,18.827720000000003,0
2014-09-18 11:03:14+00:00,46.431111,10.83715,2256.826,12.920000000000073,134.45,0.7596045197740112,1491.895,18.96217,0
2014-09-18 11:04:33+00:00,46.43145,10.836487,2260.707,3.880999999999858,63.27,0.8008860759493671,1495.7759999999998,19.025440000000003,0
2014-09-18 11:05:25+00:00,46.431518,10.835715,2263.695,2.9880000000002838,59.65,1.1471153846153845,1498.7640000000001,19.085090000000005,0
2014-09-18 11:05:56+00:00,46.431783,10.835279,2264.576,0.8809999999998581,44.55,1.4370967741935483,1499.645,19.129640000000002,0
2014-09-18 11:10:12+00:00,46.432964,10.834955,2284.246,19.670000000000073,133.65,0.5220703125,1519.315,19.263290000000005,0
2014-09-18 11:11:04+00:00,46.433263,10.834659,2289.057,4.810999999999694,40.25,0.7740384615384616,1524.1259999999997,19.303540000000005,0
2014-09-18 11:11:56+00:00,46.433303,10.834171,2295.327,6.270000000000437,37.66,0.7242307692307691,1530.3960000000002,19.341200000000004,0
2014-09-18 11:13:06+00:00,46.433754,10.833724,2298.77,3.4429999999997563,60.73,0.8675714285714285,1533.839,19.401930000000004,0
2014-09-18 11:20:19+00:00,46.434356,10.832249,2317.442,18.672000000000025,131.37,0.30339491916859124,1552.511,19.533300000000004,0
2014-09-18 11:21:48+00:00,46.434369,10.831077,2318.436,0.9940000000001419,89.83,1.0093258426966292,1553.505,19.623130000000003,0
2014-09-18 11:23:43+00:00,46.434727,10.829709,2325.117,6.68100000000004,112.14,0.9751304347826087,1560.1860000000001,19.735270000000003,0
2014-09-18 11:25:34+00:00,46.434582,10.828116,2332.318,7.201000000000022,123.14,1.1093693693693694,1567.3870000000002,19.858410000000003,0
2014-09-18 11:27:57+00:00,46.43483,10.826566,2345.807,13.488999999999578,121.94,0.8527272727272727,1580.8759999999997,19.98035,0
2014-09-18 11:33:04+00:00,46.435513,10.825684,2353.98,8.17300000000023,101.67,0.3311726384364821,1589.049,20.08202,0
2014-09-18 11:35:34+00:00,46.436552,10.824979,2371.281,17.30099999999993,127.54,0.8502666666666667,1606.35,20.20956,0
2014-09-18 11:37:40+00:00,46.437359,10.823994,2376.021,4.7400000000002365,117.26,0.9306349206349207,1611.0900000000001,20.32682,0
2014-09-18 11:41:20+00:00,46.438685,10.822948,2391.972,15.951000000000022,167.82,0.7628181818181818,1627.0410000000002,20.49464,0
2014-09-18 11:45:04+00:00,46.44022,10.821199,2420.342,28.36999999999989,217.01,0.9687946428571428,1655.411,20.71165,0
2014-09-18 12:42:17+00:00,46.44027,10.820764,2434.265,13.922999999999774,33.79,0.00984270317506554,1669.3339999999998,20.74544,0
2014-09-18 12:44:35+00:00,46.44033,10.821132,2433.727,-0.5380000000000109,28.98,0.21,1668.7959999999998,20.77442,0
2014-09-18 12:46:15+00:00,46.440539,10.820991,2440.951,7.22400000000016,25.63,0.2563,1676.02,20.80005,0
2014-09-18 12:48:18+00:00,46.440828,10.821361,2452.501,11.550000000000182,42.85,0.3483739837398374,1687.5700000000002,20.842899999999997,0
2014-09-18 12:49:35+00:00,46.441061,10.821324,2460.611,8.109999999999673,26.06,0.33844155844155843,1695.6799999999998,20.868959999999998,0
2014-09-18 12:50:36+00:00,46.441384,10.821618,2466.407,5.7960000000002765,42.4,0.6950819672131148,1701.476,20.911360000000002,0
2014-09-18 12:53:39+00:00,46.441848,10.82162,2464.072,-2.3350000000000364,51.59,0.28191256830601097,1699.141,20.96295,0
2014-09-18 12:55:34+00:00,46.442504,10.822304,2461.663,-2.4090000000001055,89.82,0.7810434782608695,1696.732,21.05277,0
2014-09-18 12:56:39+00:00,46.443191,10.822349,2453.953,-7.710000000000036,76.47,1.1764615384615384,1689.022,21.129240000000003,0
2014-09-18 12:58:27+00:00,46.443862,10.822659,2438.084,-15.869000000000142,78.3,0.725,1673.1529999999998,21.20754,0
2014-09-18 12:59:16+00:00,46.444599,10.823116,2416.934,-21.149999999999636,89.12,1.8187755102040817,1652.0030000000002,21.29666,0
2014-09-18 12:59:58+00:00,46.444469,10.823314,2410.657,-6.277000000000044,20.95,0.4988095238095238,1645.726,21.317610000000002,0
2014-09-18 13:00:34+00:00,46.444727,10.823801,2405.889,-4.768000000000029,47.07,1.3075,1640.958,21.36468,0
2014-09-18 13:02:10+00:00,46.445158,10.826134,2404.427,-1.461999999999989,185.07,1.9278125,1639.496,21.54975,0
2014-09-18 13:02:58+00:00,46.445762,10.827115,2398.268,-6.1590000000001055,100.8,2.1,1633.337,21.65055,0
2014-09-18 13:03:26+00:00,46.4455,10.828353,2384.214,-14.054000000000087,99.23,3.5439285714285718,1619.283,21.749779999999998,0
2014-09-18 13:08:06+00:00,46.445715,10.829514,2381.807,-2.407000000000153,92.11,0.3289642857142857,1616.8759999999997,21.84189,0
2014-09-18 13:10:28+00:00,46.445376,10.83143,2355.479,-26.327999999999975,151.56,1.067323943661972,1590.5479999999998,21.99345,0
2014-09-18 13:11:41+00:00,46.445564,10.832013,2347.73,-7.748999999999796,49.32,0.6756164383561644,1582.799,22.04277,0
2014-09-18 13:13:07+00:00,46.445712,10.83456,2301.15,-46.57999999999993,195.84,2.2772093023255815,1536.219,22.23861,0
2014-09-18 13:13:19+00:00,46.445898,10.834656,2300.161,-0.9890000000000327,21.95,1.8291666666666666,1535.23,22.26056,0
2014-09-18 13:14:48+00:00,46.446874,10.834082,2281.451,-18.710000000000036,117.1,1.3157303370786517,1516.52,22.37766,0
2014-09-18 13:15:08+00:00,46.446664,10.832736,2268.424,-13.027000000000044,105.74,5.287,1503.493,22.483400000000003,0
2014-09-18 13:15:26+00:00,46.446957,10.83164,2254.946,-13.478000000000065,90.07,5.003888888888889,1490.0149999999999,22.57347,0
2014-09-18 13:15:42+00:00,46.447238,10.832817,2239.541,-15.404999999999745,95.44,5.965,1474.6100000000001,22.66891,0
2014-09-18 13:16:09+00:00,46.448439,10.834956,2211.281,-28.26000000000022,211.4,7.82962962962963,1446.35,22.88031,0
2014-09-18 13:16:26+00:00,46.448544,10.836836,2185.709,-25.572000000000116,144.51,8.500588235294117,1420.7779999999998,23.02482,0
2014-09-18 13:16:39+00:00,46.449245,10.838187,2167.907,-17.80199999999968,129.57,9.966923076923077,1402.976,23.15439,0
2014-09-18 13:16:52+00:00,46.450202,10.839089,2149.231,-18.67599999999993,126.88,9.76,1384.3000000000002,23.28127,0
2014-09-18 13:18:47+00:00,46.450783,10.839916,2128.522,-20.709000000000287,90.49,0.7868695652173913,1363.591,23.371760000000002,0
2014-09-18 13:19:08+00:00,46.450973,10.839997,2122.752,-5.769999999999982,22.02,1.0485714285714285,1357.821,23.393780000000003,0
2014-09-18 13:19:47+00:00,46.451405,10.839604,2113.153,-9.59900000000016,56.69,1.4535897435897436,1348.2219999999998,23.450470000000003,0
2014-09-18 13:19:56+00:00,46.451898,10.83964,2102.543,-10.609999999999673,54.89,6.098888888888889,1337.612,23.50536,0
2014-09-18 13:20:16+00:00,46.452356,10.841001,2074.246,-28.297000000000025,116.04,5.8020000000000005,1309.315,23.6214,0
2014-09-18 13:20:38+00:00,46.453191,10.842353,2043.418,-30.828000000000202,139.1,6.322727272727272,1278.4869999999999,23.7605,0
2014-09-18 13:20:52+00:00,46.45312,10.843588,2028.056,-15.361999999999853,94.94,6.781428571428571,1263.125,23.855439999999998,0
2014-09-18 13:25:49+00:00,46.453263,10.844104,2021.859,-6.197000000000116,42.61,0.14346801346801347,1256.9279999999999,23.898049999999998,0
2014-09-18 13:26:22+00:00,46.454187,10.846095,1986.214,-35.64499999999998,183.9,5.572727272727273,1221.283,24.08195,0
2014-09-18 13:27:00+00:00,46.454718,10.848861,1953.507,-32.70699999999988,219.96,5.78842105263158,1188.576,24.30191,0
2014-09-18 13:27:29+00:00,46.455413,10.850846,1925.752,-27.75500000000011,170.57,5.881724137931034,1160.821,24.47248,0
2014-09-18 13:27:38+00:00,46.455853,10.851501,1913.223,-12.528999999999996,70.08,7.786666666666666,1148.292,24.54256,0
2014-09-18 13:28:15+00:00,46.456714,10.854061,1888.763,-24.460000000000036,218.23,5.898108108108108,1123.8319999999999,24.76079,0
2014-09-18 13:28:22+00:00,46.457021,10.85444,1888.244,-0.5190000000000055,44.81,6.401428571428572,1123.3129999999999,24.805600000000002,0
2014-09-18 13:28:40+00:00,46.457683,10.854506,1887.764,-0.4800000000000182,73.78,4.098888888888889,1122.8329999999999,24.87938,0
2014-09-18 13:29:04+00:00,46.458803,10.855049,1881.067,-6.696999999999889,131.3,5.470833333333334,1116.136,25.01068,0
2014-09-18 13:29:42+00:00,46.461184,10.857256,1845.939,-35.12799999999993,314.12,8.266315789473685,1081.008,25.3248,0
2014-09-18 13:29:52+00:00,46.461886,10.857741,1839.697,-6.242000000000189,86.45,8.645,1074.7659999999998,25.41125,0
2014-09-18 13:30:15+00:00,46.462685,10.859342,1823.323,-16.373999999999796,151.43,6.583913043478261,1058.392,25.56268,0
2014-09-18 13:30:34+00:00,46.463588,10.86072,1808.425,-14.898000000000138,145.68,7.667368421052632,1043.494,25.70836,0
2014-09-18 13:30:56+00:00,46.464346,10.862665,1793.007,-15.417999999999893,171.16,7.78,1028.076,25.87952,0
2014-09-18 13:31:22+00:00,46.466209,10.863943,1770.986,-22.020999999999958,229.12,8.812307692307693,1006.0550000000001,26.10864,0
2014-09-18 13:31:41+00:00,46.465182,10.862407,1755.577,-15.409000000000106,163.95,8.628947368421052,990.646,26.27259,0
2014-09-18 13:31:56+00:00,46.465083,10.861284,1748.337,-7.240000000000009,86.71,5.780666666666666,983.406,26.359299999999998,0
2014-09-18 13:32:09+00:00,46.465467,10.862277,1741.118,-7.219000000000051,87.22,6.7092307692307696,976.1869999999999,26.44652,0
2014-09-18 13:32:21+00:00,46.466093,10.862811,1733.428,-7.689999999999827,80.73,6.7275,968.4970000000001,26.52725,0
2014-09-18 13:32:32+00:00,46.46682,10.862726,1726.781,-6.647000000000162,81.1,7.372727272727272,961.8499999999999,26.608349999999998,0
2014-09-18 13:32:41+00:00,46.467375,10.863,1720.953,-5.8279999999999745,65.18,7.242222222222223,956.0219999999999,26.67353,0
2014-09-18 13:32:54+00:00,46.468267,10.862851,1714.242,-6.711000000000013,99.84,7.680000000000001,949.3109999999999,26.77337,0
2014-09-18 13:33:16+00:00,46.469297,10.863271,1704.622,-9.61999999999989,118.96,5.407272727272727,939.691,26.892329999999998,0
2014-09-18 13:33:40+00:00,46.46972,10.863122,1703.114,-1.5080000000000382,48.4,2.0166666666666666,938.183,26.94073,0
2014-09-18 13:38:40+00:00,46.470859,10.864614,1699.807,-3.3070000000000164,170.58,0.5686,934.876,27.11131,0
2014-09-18 13:39:05+00:00,46.472184,10.864663,1691.191,-8.615999999999985,147.38,5.8952,926.26,27.25869,0
2014-09-18 13:39:21+00:00,46.473314,10.865383,1681.582,-9.608999999999924,137.22,8.57625,916.6510000000001,27.395910000000004,0
2014-09-18 13:39:35+00:00,46.474253,10.865266,1677.632,-3.9500000000000455,104.8,7.485714285714286,912.701,27.50071,0
2014-09-18 13:39:52+00:00,46.474911,10.865523,1671.943,-5.689000000000078,75.77,4.457058823529412,907.012,27.576480000000004,0
2014-09-18 13:40:06+00:00,46.475792,10.865581,1662.373,-9.569999999999936,98.06,7.0042857142857144,897.442,27.674540000000004,0
2014-09-18 13:40:37+00:00,46.478003,10.866794,1640.236,-22.136999999999944,262.81,8.477741935483872,875.3050000000001,27.937350000000006,0
2014-09-18 13:40:45+00:00,46.478685,10.866829,1634.998,-5.238000000000056,75.88,9.485,870.067,28.013230000000007,0
2014-09-18 13:41:03+00:00,46.480145,10.867198,1618.079,-16.919000000000096,164.79,9.155,853.1479999999999,28.178020000000007,0
